width,height,file_name,flickr_url,coco_url,date_captured,id_file,categories,label_count
1600,900,3d611d42-2586-4cc7-abb3-b9133c3cd714.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther063_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther063_trimmed.png,,3d611d42-2586-4cc7-abb3-b9133c3cd714,[8],1
1600,900,44a3b53e-6832-46bb-bdea-0e2ca87d2e7c.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther073_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther073_trimmed.png,,44a3b53e-6832-46bb-bdea-0e2ca87d2e7c,[8],1
1600,900,2ccdfabf-9ef9-4779-8c59-4f8259b6e26e.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther078_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther078_trimmed.png,,2ccdfabf-9ef9-4779-8c59-4f8259b6e26e,[8],1
1600,900,6e7e8b48-b313-44e0-8066-6caefd2a6ec9.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther056_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther056_trimmed.png,,6e7e8b48-b313-44e0-8066-6caefd2a6ec9,[8],1
1600,900,aa6fe1fc-c40e-4e4c-a695-a54b808a900c.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther043_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther043_trimmed.png,,aa6fe1fc-c40e-4e4c-a695-a54b808a900c,[8],1
1600,900,d65f3789-7e61-440a-979a-697844aac96f.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther065_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther065_trimmed.png,,d65f3789-7e61-440a-979a-697844aac96f,[8],1
1600,900,340c30b0-41f2-42bd-80cf-0e2ba94b2177.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther058_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther058_trimmed.png,,340c30b0-41f2-42bd-80cf-0e2ba94b2177,[8],1
1600,900,44efe289-c351-4483-9306-fdbea73b7e58.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther069_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther069_trimmed.png,,44efe289-c351-4483-9306-fdbea73b7e58,[8],1
1600,900,4cacd30b-2f92-4ee9-8d10-110b9d94902a.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther066_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther066_trimmed.png,,4cacd30b-2f92-4ee9-8d10-110b9d94902a,[8],1
1600,900,c84295f7-22e8-4a2c-bda8-4121fca9a06e.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther057_trimmed.png,https://oer.hpc.msstate.edu/FathomNet/ActiniariaOther057_trimmed.png,,c84295f7-22e8-4a2c-bda8-4121fca9a06e,[8],1
